,Date,9/26,10/3,10/10,10/17,10/24,11/7,11/14,11/21,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/27,3/20,3/27,4/10,4/17,4/24,5/8,5/15,,,,,Team,Wins,Losses,Pct,
Team,Week,5,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22/T,23/T,TOTAL,Team,Pct,,1,9,18,0.333,
1,01 vs Team,3,8,15,5,13,2,11,8,15,5,13,3,2,11,8,15,5,13,3,2,11,,,,1,,,2,19,8,0.704,
1,Wins,2,2,1,1,2,1,1,1,,,,,,,,,,,,,,,,9,1,0.333,,3,4,21,0.160,
1,Losses,1,1,3,3,2,3,3,3,,,,,,,,,,,,,,,,18,1,,,5,6,20,0.231,
2,02 vs Team,5,13,11,8,15,1,3,13,11,8,15,5,1,3,13,11,8,15,5,1,3,,,,2,,,8,15,11,0.577,
2,Wins,3,3,3,4,2,3,1,3,,,,,,,,,,,,,,,,19,2,0.704,,11,22,5,0.815,
2,Losses,1,1,1,0,2,1,2,1,,,,,,,,,,,,,,,,8,2,,,13,11,15,0.423,
3,03 vs Team,1,11,8,15,5,13,2,11,8,15,5,1,13,2,11,8,15,5,1,13,2,,,,3,,,15,20,8,0.714,
3,Wins,1,0,0,0,1,1,2,0,,,,,,,,,,,,,,,,4,3,0.160,,,,,,
3,Losses,2,4,4,4,2,2,1,4,,,,,,,,,,,,,,,,21,3,,,Team,Wins,Losses,Pct,GB
5,05 vs Team,2,15,13,1,3,11,8,15,13,1,3,2,11,8,15,13,1,3,2,11,8,,,,5,,,11,22,5,0.815,-
5,Wins,1,0,0,3,2,0,0,1,,,,,,,,,,,,,,,,6,5,0.231,,15,20,8,0.714,2.5
5,Losses,3,4,4,1,1,4,3,3,,,,,,,,,,,,,,,,20,5,,,2,19,8,0.704,3
8,08 vs Team,13,1,3,2,11,15,5,1,3,2,11,13,15,5,1,3,2,11,13,15,5,,,,8,,,8,15,11,0.577,6.5
8,Wins,2,1,4,0,0,4,3,3,,,,,,,,,,,,,,,,15,8,0.577,,13,11,15,0.423,10.5
8,Losses,2,2,0,4,4,0,0,1,,,,,,,,,,,,,,,,11,8,,,1,9,18,0.333,13
11,11 vs Team,15,3,2,13,8,5,1,3,2,13,8,15,5,1,3,2,13,8,15,5,1,,,,11,,,5,6,20,0.231,15.5
11,Wins,0,4,1,2,4,4,3,4,,,,,,,,,,,,,,,,22,11,0.815,,3,4,21,0.160,17
11,Losses,4,0,3,1,0,0,1,0,,,,,,,,,,,,,,,,5,11,,,,,,,
13,13 vs Team,8,2,5,11,1,3,15,2,5,11,1,8,3,15,2,5,11,1,8,3,15,,,,13,,,,,,,
13,Wins,2,1,4,1,2,2,0,1,,,,,,,,,,,,,,,,11,13,0.423,,,,,,
13,Losses,2,3,0,2,2,1,4,3,,,,,,,,,,,,,,,,15,13,,,,,,,
15,15 vs Team,11,5,1,3,2,8,13,5,1,3,2,11,8,13,5,1,15,2,11,8,13,,,,15,,,,,,,
15,Wins,4,4,3,4,2,0,4,3,,,,,,,,,,,,,,,,20,15,0.714,,,,,,
15,Losses,0,0,1,0,2,4,0,1,,,,,,,,,,,,,,,,8,15,,,,,,,